Federated Co-operatives Limited
Alliance Grain Traders
SunOpta,press.inquiries@sunopta.com
Nudestix,Insta @nudestix/?hl=en
Ilia Beauty
Rocky Mountain Soap Company,https://www.rockymountainsoap.com/pages/contact-us
,first.last@company.com
,Insta @rockymountainsoapco
,info@rockymountainsoap.com
Saje Natural Wellness,https://www.saje.ca/pages/contact-us
Province Apothecary,dina@provinceapothecary.com
,info@provinceapothecary.com
,Insta @provinceapothecary
,jennifer@provinceapothecary.com
,https://www.provinceapothecary.com/pages/contact-us
Green Beaver,Insta @greenbeavercompany
Attitude Living
Consonant Skincare,Insta @consonantlife
,20info@consonant.com
,info@consonant.com
,regimencoach@consonant.com
,https://www.consonantskincare.com/pages/contact-us
Premium Brands Holdings Corporation
Molson Coors Beverage Company,https://www.molsoncoors.com/contact-us
,Insta @molsoncoors
Sanrio
Genshin
Starrail
Honkai impact 
Nintendo,Insta @nintendoamerica
,https://en-americas-support.nintendo.com/app/contact
Bear Paws,Insta @p/C2A0vIRLZDn
,Insta @p/C2LH5c6MDic
,Insta @reel/C2lIUzrMmcx
,Contact-hero-image@2x-sca
,Insta @reel/C2aq6daLPlJ
,Insta @dare.foods/?hl=en
,https://www.darefoods.com/contact-us/
Tears of Themis 
Zenless zone zero
Kuro game
WEBTOON,webtoonpress@webtoon.com
,https://www.webtoons.com/en/contact
,webtoonads@webtoon.com
,webtoonip@webtoon.com
,Insta @webtoonofficial
Crunchyroll
Funimation,philip.berne@futurenet.com
,max.langridge@futurenet.com
,hamish.hector@futurenet.com
,matt.phillips@futurenet.com
,aleksha.mcloughlin@futurenet.com
,lewis.maddison@futurenet.com
,timothy.coleman@futurenet.com
,sales@bluepixlmedia.com
,muskaan.saxena@futurenet.com
,futurenet-webmaster@futurenet
,luke.hughes@futurenet.com
,paul.marttila@futurenet.com
,sales@tbreak.com
,news@techradar.com
,mackenzie.frazier@futurenet.com
,owain.williams@futurenet.com
,markus.mesia@gmail.com
,elie.gould@futurenet.com
,petter.mattsson@me.com
,John.Loeffler@futurenet.com
,Jake.tucker@futurenet.com
,mike.moore@futurenet.com
,udita.choudhary@futurenet.com
,tom.power@futurenet.com
,marc.mclaren@futurenet.com
,petra.cranshure-player@futurenet.com
,https://www.techradar.com/how-to/contact-us
,Christian.Guyton@futurenet.com
,matthew.hanson@futurenet.com
,amelia.schwanke@futurenet.com
,catherine.bussell@futurenet.com
,rhys.wood@futurenet.com
,bram.lodewijks@bluepixlmedia.com
,antonio.romero@bluepixlmedia.com
,james@techradar.com
,josephine.watson@futurenet.com
,al.griffin@futurenet.com
,jouri.altorf@bluepixlmedia.com
,becky.scarrott@futurenet.com
,benedict.collins@futurenet.com
,alex.walker-todd@futurenet.com
,axel.metz@futurenet.com
,matt.evans@futurenet.com
,mark.wilson@futurenet.com
,james.pickard@futurenet.com
,cas.kulk@bluepixlmedia.com
,sharmishta.sarkar@futurenet.com
,usadvertising@futurenet.com
,mike.mcnally@futurenet.com
,Allisa.james@futurenet.com
,dave.randall@futurenet.com
,jasmine.gearie@futurenet.com
,alex.whitelock@futurenet.com
,lance.ulanoff@futurenet.com
,michelle.uy@futurenet.com
,anastasia.lazaridis@bluepixlmedia.com
,Mandywestberg@gmail.com
,desire.athow@futurenet.com
,matthew.bolton@futurenet.com
Mappa 
Kadokawa 
Studio ghibli ,example@domain.com
,https://www.ghiblicollection.com/pages/contact-us
,Insta @GKIDSfilms
,john@example.com
Tencent
Iqiyi 
Youku 
TVB,http://www.tvbusa.com/contact-2/
,Insta @tvbusa
Moonton
Riot games
